customerID,MonthlyCharges,tenure,contract,InternetService,churn,risk_score,category,Cluster
0004-TLHLJ,73.9,4,Month-to-month,Fiber optic,Yes,90,High,0
0011-IGKFF,98.0,13,Month-to-month,Fiber optic,Yes,80,High,0
0013-EXCHZ,83.9,3,Month-to-month,Fiber optic,Yes,85,High,0
0018-NYROU,68.95,5,Month-to-month,Fiber optic,No,90,High,0
0021-IKXGC,72.1,1,Month-to-month,Fiber optic,No,90,High,0
0023-XUOPT,94.1,13,Month-to-month,Fiber optic,Yes,80,High,0
0027-KWYKW,83.75,23,Month-to-month,Fiber optic,No,70,Medium,0
0036-IHMOT,103.7,55,One year,Fiber optic,No,50,Medium,0
0048-LUMLS,91.2,37,One year,Fiber optic,No,55,Medium,0
0052-DCKON,115.8,66,One year,Fiber optic,No,45,Medium,0
0058-EVZWM,89.8,55,Month-to-month,Fiber optic,No,65,Medium,0
0060-FUALY,94.75,59,Month-to-month,Fiber optic,No,65,Medium,0
0064-YIJGF,75.75,27,Month-to-month,Fiber optic,No,60,Medium,0
0080-OROZO,99.25,35,One year,Fiber optic,No,50,Medium,0
0082-OQIQY,94.2,29,Month-to-month,Fiber optic,No,65,Medium,0
0089-IIQKO,99.95,39,Month-to-month,Fiber optic,No,65,Medium,0
0093-EXYQL,91.55,40,Month-to-month,Fiber optic,No,70,Medium,0
0093-XWZFY,104.5,40,Month-to-month,Fiber optic,Yes,70,Medium,0
0094-OIFMO,95.0,11,Month-to-month,Fiber optic,Yes,90,High,0
0100-DUVFC,104.8,70,One year,Fiber optic,No,55,Medium,0
0103-CSITQ,109.4,57,One year,Fiber optic,No,50,Medium,0
0107-YHINA,99.75,1,Month-to-month,Fiber optic,Yes,100,High,0
0111-KLBQG,93.95,32,Month-to-month,Fiber optic,No,70,Medium,0
0112-QAWRZ,90.8,16,Month-to-month,Fiber optic,No,80,High,0
0114-PEGZZ,107.55,33,Month-to-month,Fiber optic,No,70,Medium,0
0115-TFERT,111.2,21,Month-to-month,Fiber optic,Yes,75,Medium,0
0118-JPNOY,85.8,26,Month-to-month,Fiber optic,No,65,Medium,0
0122-OAHPZ,73.85,7,Month-to-month,Fiber optic,Yes,80,High,0
0125-LZQXK,101.35,15,Month-to-month,Fiber optic,Yes,75,Medium,0
0129-KPTWJ,94.65,72,Month-to-month,Fiber optic,No,70,Medium,0
0130-SXOUN,89.4,66,Month-to-month,Fiber optic,No,70,Medium,0
0133-BMFZO,86.25,2,Month-to-month,Fiber optic,Yes,90,High,0
0135-NMXAP,89.75,12,Month-to-month,Fiber optic,Yes,90,High,0
0137-OCGAB,80.2,1,Month-to-month,Fiber optic,Yes,90,High,0
0139-IVFJG,90.35,2,Month-to-month,Fiber optic,No,95,High,0
0141-YEAYS,86.45,27,Month-to-month,Fiber optic,No,70,Medium,0
0147-ESWWR,101.25,39,Month-to-month,Fiber optic,No,65,Medium,0
0148-DCDOS,94.7,25,Month-to-month,Fiber optic,Yes,70,Medium,0
0151-ONTOV,70.9,1,Month-to-month,Fiber optic,Yes,90,High,0
0168-XZKBB,86.85,19,Month-to-month,Fiber optic,No,80,High,0
0177-PXBAT,109.9,33,Month-to-month,Fiber optic,No,60,Medium,0
0178-SZBHO,87.2,47,Month-to-month,Fiber optic,No,70,Medium,0
0186-CAERR,116.3,71,One year,Fiber optic,No,45,Medium,0
0187-QSXOE,89.0,7,Month-to-month,Fiber optic,No,90,High,0
0187-WZNAB,74.4,27,Month-to-month,Fiber optic,No,55,Medium,0
0193-ESZXP,105.5,58,One year,Fiber optic,Yes,45,Medium,0
0195-IESCP,85.25,10,Month-to-month,Fiber optic,Yes,90,High,0
0196-JTUQI,75.2,9,Month-to-month,Fiber optic,No,80,High,0
0196-VULGZ,84.35,6,Month-to-month,Fiber optic,Yes,90,High,0
0197-PNKNK,84.45,69,One year,Fiber optic,No,40,Medium,0
0201-OAMXR,115.55,70,One year,Fiber optic,Yes,45,Medium,0
0206-TBWLC,114.65,54,One year,Fiber optic,No,45,Medium,0
0207-MDKNV,105.1,15,Month-to-month,Fiber optic,Yes,70,Medium,0
0215-BQKGS,84.3,30,Month-to-month,Fiber optic,No,55,Medium,0
0218-QNVAS,100.55,71,One year,Fiber optic,No,55,Medium,0
0219-YTZUE,84.8,4,Month-to-month,Fiber optic,Yes,90,High,0
0220-EBGCE,85.85,2,Month-to-month,Fiber optic,Yes,100,High,0
0221-WMXNQ,75.35,4,Month-to-month,Fiber optic,No,85,High,0
0225-ZORZP,84.3,3,Month-to-month,Fiber optic,No,90,High,0
0231-LXVAP,75.9,1,Month-to-month,Fiber optic,Yes,85,High,0
0233-FTHAV,79.2,60,One year,Fiber optic,No,45,Medium,0
0235-KGSLC,85.55,1,Month-to-month,Fiber optic,Yes,100,High,0
0236-HFWSV,93.35,15,Month-to-month,Fiber optic,Yes,80,High,0
0237-YFUTL,109.65,50,Month-to-month,Fiber optic,No,60,Medium,0
0239-OXEXL,84.25,46,Month-to-month,Fiber optic,No,55,Medium,0
0256-LTHVJ,81.05,28,Month-to-month,Fiber optic,Yes,60,Medium,0
0257-ZESQC,75.2,27,Month-to-month,Fiber optic,Yes,55,Medium,0
0258-NOKBL,90.4,3,Month-to-month,Fiber optic,No,100,High,0
0259-GBZSH,85.65,2,Month-to-month,Fiber optic,Yes,100,High,0
0265-EDXBD,74.9,32,Month-to-month,Fiber optic,Yes,60,Medium,0
0265-PSUAE,100.7,16,Month-to-month,Fiber optic,No,75,Medium,0
0280-XJGEX,103.7,49,Month-to-month,Fiber optic,Yes,70,Medium,0
0295-PPHDO,95.45,1,Month-to-month,Fiber optic,Yes,100,High,0
0302-JOIVN,101.15,8,Month-to-month,Fiber optic,Yes,90,High,0
0306-JAELE,96.1,5,Month-to-month,Fiber optic,Yes,95,High,0
0308-GIQJT,105.75,71,One year,Fiber optic,No,50,Medium,0
0310-MVLET,99.15,61,Month-to-month,Fiber optic,Yes,70,Medium,0
0311-UNPFF,88.8,26,Month-to-month,Fiber optic,Yes,70,Medium,0
0315-LVCRK,84.8,11,Month-to-month,Fiber optic,No,80,High,0
0318-QUUOB,80.55,1,Month-to-month,Fiber optic,Yes,90,High,0
0320-JDNQG,99.85,23,Month-to-month,Fiber optic,Yes,70,Medium,0
0324-BRPCJ,100.2,68,Month-to-month,Fiber optic,Yes,70,Medium,0
0325-XBFAC,94.7,8,Month-to-month,Fiber optic,Yes,90,High,0
0326-VDYXE,97.65,70,One year,Fiber optic,No,55,Medium,0
