customerID,MonthlyCharges,tenure,contract,InternetService,churn,risk_score,category
0002-ORFBO,65.6000,9,"One year",DSL,No,55,Medium
0003-MKNFE,59.9000,9,Month-to-month,DSL,No,65,Medium
0004-TLHLJ,73.9000,4,Month-to-month,"Fiber optic",Yes,90,High
0011-IGKFF,98.0000,13,Month-to-month,"Fiber optic",Yes,80,High
0013-EXCHZ,83.9000,3,Month-to-month,"Fiber optic",Yes,85,High
0013-MHZWF,69.4000,9,Month-to-month,DSL,No,70,Medium
0013-SMEOE,109.7000,71,"Two year","Fiber optic",No,30,Low
0014-BMAQU,84.6500,63,"Two year","Fiber optic",No,20,Low
0015-UOCOJ,48.2000,7,Month-to-month,DSL,No,60,Medium
0016-QLJIS,90.4500,65,"Two year",DSL,No,25,Low
0017-DINOC,45.2000,54,"Two year",DSL,No,5,"Too low"
0017-IUDMW,116.8000,72,"Two year","Fiber optic",No,30,Low
0018-NYROU,68.9500,5,Month-to-month,"Fiber optic",No,90,High
0019-EFAEP,101.3000,72,"Two year","Fiber optic",No,35,Low
0019-GFNTW,45.0500,56,"Two year",DSL,No,5,"Too low"
0020-INWCK,95.7500,71,"Two year","Fiber optic",No,40,Medium
0020-JDNXP,61.2500,34,"One year",DSL,No,20,Low
0021-IKXGC,72.1000,1,Month-to-month,"Fiber optic",No,90,High
0022-TCJCI,62.7000,45,"One year",DSL,Yes,25,Low
0023-HGHWL,25.1000,1,Month-to-month,DSL,Yes,75,Medium
0023-UYUPN,25.2000,50,"One year",No,No,15,Low
0023-XUOPT,94.1000,13,Month-to-month,"Fiber optic",Yes,80,High
0027-KWYKW,83.7500,23,Month-to-month,"Fiber optic",No,70,Medium
0030-FNXPP,19.8500,3,Month-to-month,No,No,60,Medium
0031-PVLZI,20.3500,4,Month-to-month,No,Yes,60,Medium
0032-PGELS,30.5000,1,Month-to-month,DSL,Yes,70,Medium
0036-IHMOT,103.7000,55,"One year","Fiber optic",No,50,Medium
0040-HALCW,20.4000,54,"Two year",No,No,0,"Too low"
0042-JVWOJ,19.6000,26,"One year",No,No,15,Low
0042-RLHYP,19.7000,69,"Two year",No,No,0,"Too low"
0048-LUMLS,91.2000,37,"One year","Fiber optic",No,55,Medium
0048-PIHNL,20.4500,49,"One year",No,No,15,Low
0052-DCKON,115.8000,66,"One year","Fiber optic",No,45,Medium
0052-YNYOT,20.5500,67,"One year",No,No,15,Low
0056-EPFBG,39.4000,20,"Two year",DSL,No,15,Low
0057-QBUQH,25.1000,43,"Two year",No,No,0,"Too low"
0058-EVZWM,89.8000,55,Month-to-month,"Fiber optic",No,65,Medium
0060-FUALY,94.7500,59,Month-to-month,"Fiber optic",No,65,Medium
0064-SUDOG,20.3000,12,"Two year",No,No,20,Low
0064-YIJGF,75.7500,27,Month-to-month,"Fiber optic",No,60,Medium
0067-DKWBL,49.2500,2,Month-to-month,DSL,Yes,70,Medium
0068-FIGTF,78.2000,27,"One year",DSL,No,35,Low
0071-NDAFP,25.5000,25,"Two year",No,No,0,"Too low"
0074-HDKDG,61.6000,25,"One year",DSL,No,25,Low
0076-LVEPS,45.0000,29,Month-to-month,DSL,No,35,Low
0078-XZMHT,85.1500,72,"Two year",DSL,No,30,Low
0080-EMYVY,51.4500,14,"One year",DSL,No,40,Medium
0080-OROZO,99.2500,35,"One year","Fiber optic",No,50,Medium
0082-LDZUE,44.3000,1,Month-to-month,DSL,No,75,Medium
0082-OQIQY,94.2000,29,Month-to-month,"Fiber optic",No,65,Medium
0083-PIVIK,81.2500,64,"One year",DSL,No,30,Low
0089-IIQKO,99.9500,39,Month-to-month,"Fiber optic",No,65,Medium
0093-EXYQL,91.5500,40,Month-to-month,"Fiber optic",No,70,Medium
0093-XWZFY,104.5000,40,Month-to-month,"Fiber optic",Yes,70,Medium
0094-OIFMO,95.0000,11,Month-to-month,"Fiber optic",Yes,90,High
0096-BXERS,50.3500,6,Month-to-month,DSL,No,75,Medium
0096-FCPUF,64.5000,30,Month-to-month,DSL,No,40,Medium
0098-BOWSO,19.4000,27,Month-to-month,No,No,30,Low
0100-DUVFC,104.8000,70,"One year","Fiber optic",No,55,Medium
0103-CSITQ,109.4000,57,"One year","Fiber optic",No,50,Medium
0104-PPXDV,50.3000,58,"One year",DSL,No,30,Low
0106-GHRQR,71.4000,16,Month-to-month,DSL,No,65,Medium
0106-UGRDO,116.0000,69,"Two year","Fiber optic",No,30,Low
0107-WESLM,19.8500,1,Month-to-month,No,Yes,60,Medium
0107-YHINA,99.7500,1,Month-to-month,"Fiber optic",Yes,100,High
0111-KLBQG,93.9500,32,Month-to-month,"Fiber optic",No,70,Medium
0112-QAWRZ,90.8000,16,Month-to-month,"Fiber optic",No,80,High
0112-QWPNC,84.3500,49,"One year",DSL,Yes,30,Low
0114-IGABW,58.2500,71,"Two year",DSL,No,10,Low
0114-PEGZZ,107.5500,33,Month-to-month,"Fiber optic",No,70,Medium
0114-RSRRW,19.9500,10,Month-to-month,No,No,50,Medium
0115-TFERT,111.2000,21,Month-to-month,"Fiber optic",Yes,75,Medium
0117-LFRMW,40.2000,37,Month-to-month,DSL,Yes,40,Medium
0118-JPNOY,85.8000,26,Month-to-month,"Fiber optic",No,65,Medium
0121-SNYRK,35.4000,50,"One year",DSL,No,20,Low
0122-OAHPZ,73.8500,7,Month-to-month,"Fiber optic",Yes,80,High
0123-CRBRT,88.1000,61,"Two year",DSL,No,25,Low
0125-LZQXK,101.3500,15,Month-to-month,"Fiber optic",Yes,75,Medium
0128-MKWSG,45.8000,26,Month-to-month,DSL,No,35,Low
0129-KPTWJ,94.6500,72,Month-to-month,"Fiber optic",No,70,Medium
0129-QMPDR,20.5000,44,"One year",No,No,15,Low
0130-SXOUN,89.4000,66,Month-to-month,"Fiber optic",No,70,Medium
